trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9999500004166653}",20,0,-36.11942355407397,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
2,False,"{'a': 0.01, 'e': 0.9998000066665778}",20,7,-125.14943374986758,"{0: 6, 1: 0, 2: 5, 3: 0, 4: 2}",1
3,False,"{'a': 0.01, 'e': 0.9995500337489875}",25,0,-155.93688812563119,"{0: 12, 1: 4, 2: 5, 3: 3, 4: 1}",0
4,False,"{'a': 0.01, 'e': 0.9992001066609779}",20,0,-147.77864962285574,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
5,False,"{'a': 0.01, 'e': 0.9987502603949663}",35,0,-221.8535546293416,"{0: 20, 1: 3, 2: 7, 3: 2, 4: 3}",0
6,False,"{'a': 0.01, 'e': 0.9982005399352042}",20,0,-86.79198220792085,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 0}",0
7,False,"{'a': 0.01, 'e': 0.9975510002532796}",25,7,-83.12702598474434,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 1}",1
8,False,"{'a': 0.01, 'e': 0.9968017063026194}",20,9,-50.633320763163496,"{0: 7, 1: 2, 2: 1, 3: 0, 4: 1}",1
9,False,"{'a': 0.01, 'e': 0.9959527330119943}",20,0,-102.99781374674942,"{0: 14, 1: 1, 2: 1, 3: 3, 4: 1}",0
10,False,"{'a': 0.01, 'e': 0.9950041652780257}",20,0,-130.6035434852079,"{0: 9, 1: 2, 2: 7, 3: 1, 4: 1}",0
