trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-227.76292388163168,"{0: 12, 1: 1, 2: 8, 3: 0, 4: 4}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,1,-140.52913356197465,"{0: 11, 1: 7, 2: 4, 3: 0, 4: 2}",1
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-65.54364955067214,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",35,0,-217.64389338349645,"{0: 16, 1: 5, 2: 9, 3: 4, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-95.99010523717891,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-185.6334266433531,"{0: 7, 1: 2, 2: 7, 3: 2, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-71.68700379886467,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,3,-163.1186567585104,"{0: 9, 1: 5, 2: 5, 3: 1, 4: 2}",1
9,False,"{'a': 0.5, 'e': 1.0}",30,6,-84.94627675161722,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 2}",1
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-161.89337380569307,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 3}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-25.09159610683346,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-34.985270398936706,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,0,-154.36984889282118,"{0: 16, 1: 7, 2: 5, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-127.48126373106575,"{0: 17, 1: 4, 2: 5, 3: 4, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-110.28159373680325,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-141.02867150886735,"{0: 10, 1: 2, 2: 4, 3: 3, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-151.73498318767594,"{0: 16, 1: 3, 2: 2, 3: 1, 4: 3}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-175.5753371087772,"{0: 17, 1: 4, 2: 5, 3: 2, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,4,-92.09557488963212,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 1}",1
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-80.06750763762255,"{0: 10, 1: 5, 2: 3, 3: 2, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,0,-124.91764386887047,"{0: 22, 1: 1, 2: 4, 3: 1, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-71.11772537357133,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-156.83707989292645,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-124.1288310800994,"{0: 14, 1: 4, 2: 4, 3: 2, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-33.01936011839904,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",30,0,-175.09432265719215,"{0: 18, 1: 3, 2: 4, 3: 3, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-127.2923470610236,"{0: 13, 1: 3, 2: 1, 3: 0, 4: 3}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-60.033807508519644,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-220.5493284764613,"{0: 12, 1: 4, 2: 3, 3: 3, 4: 3}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-31.96509125154044,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
